word	tag	D@A1	F@A1	SFI@A1	U@A1	tf-idf@A1	D@A2	F@A2	SFI@A2	U@A2	tf-idf@A2	D@B1	F@B1	SFI@B1	U@B1	tf-idf@B1	D@B2	F@B2	SFI@B2	U@B2	tf-idf@B2	D@C1	F@C1	SFI@C1	U@C1	tf-idf@C1	D@TOTAL	F@TOTAL	SFI@TOTAL	U@TOTAL	tf-idf@TOTAL
educatief	ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	23.052134898324198	0.02019358793110947	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	13.541585987332256	0.0022602610376491806	0.0
educatief	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	1	23.500837594882015	0.022391529474631588	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	13.990288683890073	0.002506275844468139	0.0
eed	N(soort)	-	-	-	-	-	-	-	-	-	-	0.18165551002032926	4	47.912066987442046	6.183106097659825	3.6651629274966204	0.0	3	36.83750875539839	0.4827817843500313	2.7488721956224653	-	-	-	-	-	0.18695033982458992	7	45.633136582958414	3.6585892865259133	0.0
eedformule	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	32.06629620820176	0.16092726145001043	1.6094379124341003	-	-	-	-	-	0.0	1	16.973862741916616	0.004981799838083908	0.0
een en ander	LID(onbep) VG(neven) ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	23.784454033668432	0.023902614285803044	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	0.0	1	14.273905122676492	0.0026754110241561727	0.0
een jaar of	LID(onbep) N(soort) VG(neven)	-	-	-	-	-	0.0	1	23.499744619311286	0.022385894976287034	0.5108256237659907	0.12110367334688617	2	43.17638760687372	2.077967547376859	1.0216512475319814	0.14746305199023912	2	46.902424480963134	4.900523183395079	1.0216512475319814	-	-	-	-	-	0.23561228872741274	5	45.16350649110076	3.2836030403086007	0.0
een jaar of	LID(onbep) N(soort) VG(onder)	-	-	-	-	-	0.18002486524878292	3	45.40471326208529	3.471133573726858	2.7488721956224653	0.0	1	26.60991993336811	0.04581334404778917	0.9162907318741551	-	-	-	-	-	-	-	-	-	-	0.20294537909783328	4	43.549358105760525	2.2643096142514336	0.0
een kamer	TW(rang) N(soort)	-	-	-	-	-	-	-	-	-	-	0.12110367334688617	2	43.1771445491504	2.078329752892259	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.10147268954891664	2	37.565097132768884	0.5708338430970799	0.0
een minuut of	LID(onbep) N(soort) VG(neven)	-	-	-	-	-	0.0	1	25.064302499854936	0.03209447308428249	1.6094379124341003	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	17.889012553130122	0.006150370170473961	0.0
een of ander	LID(onbep) VG(neven) ADJ()	-	-	-	-	-	0.0	1	26.93245374432948	0.04934525236708432	0.5108256237659907	0.0	1	19.337761724283187	0.008585709154383277	0.5108256237659907	0.14746305199023912	2	46.900360025149524	4.8981942315438305	1.0216512475319814	-	-	-	-	-	0.20294537909783328	4	43.55335228036453	2.2663930411614035	0.0
een of ander	TW(hoofd) VG(neven) ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	26.470986774153467	0.04437094490985278	0.9162907318741551	-	-	-	-	-	0.0	1	52.67479359022786	18.513109037382723	0.9162907318741551	0.10147268954891664	2	37.563835620542385	0.5706680548300532	0.0
een of ander	VNW(onbep,det) VG(neven) ADJ()	-	-	-	-	-	-	-	-	-	-	0.0	1	24.32362381245836	0.02706215525461609	0.5108256237659907	0.14746305199023912	2	46.89378476561805	4.890783930198945	1.0216512475319814	0.0	1	53.02109400667356	20.04977026182951	0.5108256237659907	0.20294537909783328	4	43.54808859881206	2.263647819821208	0.0
een voor een	TW(hoofd) VZ(init) TW(hoofd)	-	-	-	-	-	0.11358304386814942	2	41.861792679578116	1.5352505723364376	1.0216512475319814	0.0	1	24.050678834872574	0.0254136990969745	0.5108256237659907	0.0	1	34.174829861350695	0.26150679985626696	0.5108256237659907	-	-	-	-	-	0.20294537909783328	4	43.57205246857714	2.2761728921858504	0.0
een	LID(onbep)	0.8634973765933054	377	83.87072371415078	24382.17092283966	0.0	0.9479694184138099	3646	83.40370414093805	21896.28383627783	0.0	0.9402612953126525	3170	83.92922073089977	24712.80675081709	0.0	0.9602397994946215	1882	84.54737403861816	28492.94920505071	0.0	0.9689643385463494	194	85.57183272523092	36073.08395292477	0.0	0.9497381749994477	9269	83.87586151430878	24411.032641119295	0.0
een	TW(hoofd)	0.33490266655610795	6	62.19390673649322	165.72600969050782	0.0	0.7838925555338477	167	69.19066112125128	829.9771043115902	0.0	0.7672753952469914	132	69.24709310141837	840.8321522272157	0.0	0.8106156617425979	81	70.16066743078404	1037.6878771158702	0.0	0.41269725150422126	5	66.58476761954921	455.4878134648001	0.0	0.8086187205419638	391	69.43011395412361	877.0238329881965	0.0
een	TW(rang)	0.2767081898734263	3	58.33055155377896	68.08558218591912	0.0	0.601198048346675	93	65.50038513548897	354.84485573687994	0.0	0.6656489682380654	87	66.82278123484885	481.1473780273366	0.0	0.7625509433780878	53	68.05581922579428	639.1192854202546	0.0	0.6989700043360187	5	68.42292715617498	695.4929237010972	0.0	0.7070530874665549	241	66.74660233871572	472.7812383655814	0.0
een	VNW(onbep,det)	0.1603192365080631	3	56.10009476395235	40.73891670228413	0.6694306539426294	0.5428241000255399	33	60.56559524907836	113.9093896713858	7.363737193368922	0.4780813078452645	18	58.57506083218108	72.02878403311765	4.016583923655776	0.522991511159872	13	60.346922555626435	108.3159107074364	2.900866167084727	-	-	-	-	-	0.5901668106033299	67	60.406441572943805	109.81057288924843	0.0
eend	N(soort)	-	-	-	-	-	-	-	-	-	-	0.23231267207002748	6	50.693707890084134	11.73196581932356	9.656627474604601	-	-	-	-	-	-	-	-	-	-	0.19465463763199134	6	45.131463847783735	3.2594654714258797	0.0
eendenkooi	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	2	28.24532424346537	0.06676247438448436	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.0	2	18.73477533247343	0.007472699757125861	0.0
eendenvijver	N(soort)	-	-	-	-	-	-	-	-	-	-	0.0	2	29.620219890007924	0.09162668809557833	3.2188758248682006	-	-	-	-	-	-	-	-	-	-	0.0	2	20.109670979015988	0.010255742259265328	0.0
eender	ADJ()	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	52.57934041116555	18.110650145265705	1.6094379124341003	0.0	1	15.804164672546372	0.003805541542980763	0.0
eendracht	N(soort)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0	1	34.45434371211041	0.2788909176054965	1.6094379124341003	-	-	-	-	-	0.0	1	19.361910245825264	0.008633582126802822	0.0
