	WORD	CEFR
675	bass	b2
676	bastard	c1
677	bath	a2
678	bathe	c1
679	bathroom	a2
680	bathtub	a2
681	bathtubfuls	b2
682	baton	b2
683	battered	b1
684	battery	b1
685	battle	c1
686	battlefield	c1
687	battlefront	c1
688	bay	a2
689	be	a1
690	beach	a2
691	beak	a1
692	beam	c1
693	bean	c1
694	bear	b1
695	beard	a1
696	beat	c1
697	beating	c1
698	beautiful	a1
699	beautifully	c1
700	beauty	b1
701	because	b1
702	become	c1
703	bed	a1
704	bedcloth	c1
705	bedcover	c1
706	bedridden	c1
707	bedroom	a2
708	bedside	c1
709	bedspread	b1
710	bedtime	b2
711	bee	b2
712	beef	b1
713	beehive	b2
714	beekeeper	b2
715	beekeeping	b1
716	been	b2
717	beep	b1
718	beer	a2
719	beetle	b1
720	befit	c1
721	before	b1
722	befriend	b2
723	beg	c1
724	beggar	c1
725	begging	c1
726	begin	c1
727	beginner	b2
728	beginning	a1
729	behalf	c1
730	behave	b2
731	behavior	b2
732	behaviour	b2
733	behind	a2
734	beholden	c1
735	beige	c1
736	being	c1
737	belgian	c1
738	belief	c1
739	believable	b1
740	believe	c1
741	believer	c1
742	bell	b2
743	belong	b2
744	belonging	b1
745	beloved	a2
746	below	a2
747	belt	a2
748	ben	b1
749	bench	c1
750	bend	c1
751	beneath	c1
752	beneficial	c1
753	benefit	b2
754	benign	b2
755	bent	c1
756	benzene	b2
757	bergamot	c1
758	beside	b2
759	besides	c1
760	best	a2
761	bestow	b2
762	bestseller	a2
763	bet	a1
764	beta	c1
765	betray	c1
766	betting	a1
767	between	c1
768	beverage	c1
769	beware	c1
770	bewilder	c1
771	beyond	c1
772	bias	c1
773	bicentenary	c1
774	bicycle	b2
775	bid	c1
776	bidder	b1
777	big	a2
778	bike	a2
779	biking	b2
780	bikini	a1
781	bilingual	c1
782	bill	b2
783	billboard	b2
784	billing	c1
785	billion	b2
786	billionaire	b2
787	billions	c1
788	bin	b1
789	bind	c1
790	bindi	a2
791	binding	c1
792	binoculars	c1
793	biodegradable	b2
794	biofuel	c1
795	biographer	b2
796	biography	c1
797	biological	b2
798	biologists	a2
799	biology	b2
800	biomedical	c1
801	biomimicry	c1
802	bird	a2
803	birdwatching	a2
804	birth	b1
805	birthdate	c1
806	birthday	b1
807	birthmark	b1
808	birthplace	a2
809	biscuit	c1
810	bishop	c1
811	bit	b1
812	bite	a2
813	bitten	c1
814	bitter	c1
815	bitterly	c1
816	bitterness	b1
817	bizarre	b2
818	black	a1
819	blackcurrants	a2
820	blacken	b2
821	blackmail	b2
822	blackness	c1
823	blackout	c1
824	blacksmith	a2
825	blade	c1
826	blame	b2
827	blank	c1
828	blanket	c1
829	blankly	b2
830	blasphemous	c1
831	blast	b2
832	blaze	c1
833	blazer	a2
834	bleach	a2
835	bleak	b1
836	bleary	b2
837	bleed	b2
838	bleeding	c1
839	blend	b2
840	blind	c1
841	blindfold	b1
842	blindly	b2
843	blink	b2
844	block	b2
845	blockbuster	c1
846	blog	b1
847	blogger	c1
848	blond	a2
849	blonde	c1
850	blood	a2
851	bloodshot	b2
852	bloodstained	c1
853	bloody	b2
854	blot	c1
855	blotter	c1
856	blouse	a1
857	blow	c1
858	blue	a1
859	blueberry	b2
860	blues	b2
861	blunder	b1
862	bluntly	c1
863	blur	b1
864	blurred	b1
865	blurt	b2
866	blush	b2
867	boa	b1
868	board	c1
869	boast	c1
870	boat	a2
871	boatman	b2
872	bodily	c1
873	body	a2
874	bodywork	c1
875	boil	b1
876	boiling	b2
877	bold	b1
878	boldly	c1
879	bomb	b2
880	bombard	c1
881	bomber	b2
882	bombing	b2
883	bombshell	b1
884	bon	b1
885	bond	b2
886	bone	c1
887	bonfire	b2
888	book	b1
889	booking	b1
890	bookseller	a2
891	bookshelf	a2
892	bookshop	c1
893	bookstore	c1
894	bookworm	a2
895	boom	c1
896	boor	b2
897	boost	c1
898	boot	a1
899	booty	c1
900	border	c1
901	bore	c1
902	bored	b1
903	boring	b1
904	borrow	b1
905	borrower	b1
906	bosnian	b2
907	boss	a2
908	bossy	b2
909	botanic	b1
910	both	a2
911	bother	b1
912	bottle	c1
913	bottled	c1
914	bottling	c1
915	bottom	c1
916	boulder	b2
917	bounce	b2
918	bound	c1
919	boundary	c1
920	bouquet	a2
921	bout	b2
922	boutique	a1
923	bow	c1
924	bowl	c1
925	bowling	a1
926	box	a2
927	boxcar	c1
928	boxer	b1
929	boxing	b1
930	boy	c1
931	boycott	c1
932	boyfriend	a2
