	WORD	CEFR	CLUE
4346	knitwear	b2	['knitted clothing']
4347	knock	c1	['the sound of knocking (as on a door or in an engine or bearing)', 'negative criticism', 'a vigorous blow', 'a bad experience', 'the act of hitting vigorously', 'deliver a sharp blow or push :', 'rap with the knuckles', 'knock against with force or violence', 'make light, repeated taps on a surface', 'sound like a car engine that is firing too early', 'find fault with; express criticism of; point out real or perceived flaws']
4348	knocker	b2	['(Yiddish) a big shot who knows it and acts that way; a boastful immoderate person', 'a person who knocks (as seeking to gain admittance)', 'one who disparages or belittles the worth of something', 'either of two soft fleshy milk-secreting glandular organs on the chest of a woman', 'a device (usually metal and ornamental) attached by a hinge to a door']
4349	knocking	b1	['the sound of knocking (as on a door or in an engine or bearing)', 'deliver a sharp blow or push :', 'rap with the knuckles', 'knock against with force or violence', 'make light, repeated taps on a surface', 'sound like a car engine that is firing too early', 'find fault with; express criticism of; point out real or perceived flaws']
4350	knot	c1	['a tight cluster of people or things', 'any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object', 'a hard cross-grained round piece of wood in a board where a branch emerged', 'something twisted and tight and swollen', 'a unit of length used in navigation; exactly 1,852 meters; historically based on the distance spanned by one minute of arc in latitude', 'soft lump or unevenness in a yarn; either an imperfection or created by design', 'a sandpiper that breeds in the Arctic and winters in the southern hemisphere', 'make into knots; make knots out of', 'tie or fasten into a knot', 'tangle or complicate']
4351	know	b2	['the fact of being aware of information that is known to few people', 'be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about', 'know how to do or perform something', 'be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt', 'be familiar or acquainted with a person or an object', 'have firsthand knowledge of states, situations, emotions, or sensations', 'accept (someone) to be what is claimed or accept his power and authority', 'have fixed in the mind', 'have sexual intercourse with', 'know the nature or character of', 'be able to distinguish, recognize as being different', 'perceive as familiar']
4352	knowingly	c1	['with full knowledge and deliberation']
4353	knowledge	c1	['the psychological result of perception and learning and reasoning']
4354	knowledgeable	b1	['highly educated; having extensive information or understanding', 'alert and fully informed', 'thoroughly acquainted through study or experience; -W.H.Hudson; - Herbert Read']
4355	known	b2	['be cognizant or aware of a fact or a specific piece of information; possess knowledge or information about', 'know how to do or perform something', 'be aware of the truth of something; have a belief or faith in something; regard as true beyond any doubt', 'be familiar or acquainted with a person or an object', 'have firsthand knowledge of states, situations, emotions, or sensations', 'accept (someone) to be what is claimed or accept his power and authority', 'have fixed in the mind', 'have sexual intercourse with', 'know the nature or character of', 'be able to distinguish, recognize as being different', 'perceive as familiar', 'apprehended with certainty']
4356	koala	c1	['sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark']
4357	kola	c1	['tree bearing large brown nuts containing e.g. caffeine; source of cola extract', 'a Chadic language spoken south of Lake Chad']
4358	korean	b2	['a native or inhabitant of Korea who speaks the Korean language', 'the Altaic language spoken by Koreans', 'of or relating to or characteristic of Korea or its people or language']
4359	kph	b1	['the ratio of the distance traveled (in kilometers) to the time spent traveling (in hours)']
4360	lab	b2	['a workplace for the conduct of scientific research']
4361	label	b2	['a brief description given for purposes of identification', 'trade name of a company that produces musical recordings', 'a radioactive isotope that is used in a compound in order to trace the mechanism of a chemical reaction', 'an identifying or descriptive marker that is attached to an object', 'assign a label to; designate with a label', 'attach a tag or label to', 'pronounce judgment on', 'distinguish (as a compound or molecule) by introducing a labeled atom', 'distinguish (an element or atom) by using a radioactive isotope or an isotope of unusual mass for tracing through chemical reactions']
4362	labor	c1	"['a social class comprising those who do manual labor or work for wages', 'productive work (especially physical work done for wages)', 'concluding state of pregnancy; from the onset of contractions to the birth of a child', 'an organized attempt by workers to improve their status by united action (particularly via labor unions) or the leaders of this movement', ""a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries"", 'the federal department responsible for promoting the working conditions of wage earners in the United States; created in 1913', 'any piece of work that is undertaken or attempted', 'strive and make an effort to reach a goal', 'work hard', 'undergo the efforts of childbirth']"
4363	laboratory	a2	['a workplace for the conduct of scientific research', 'a region resembling a laboratory inasmuch as it offers opportunities for observation and practice and experimentation']
4364	laborious	c1	['characterized by effort to the point of exhaustion; especially physical effort']
4365	labour	c1	"['a social class comprising those who do manual labor or work for wages', 'concluding state of pregnancy; from the onset of contractions to the birth of a child', ""a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries"", 'productive work (especially physical work done for wages)', 'work hard', 'strive and make an effort to reach a goal', 'undergo the efforts of childbirth']"
4366	labourer	c1	['someone who works with their hands; someone engaged in manual labor']
4367	lace	c1	['a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)', 'a delicate decorative fabric woven in an open web of symmetrical patterns', 'spin,wind, or twist together', 'make by braiding or interlacing', 'do lacework', 'draw through eyes or holes', 'add alcohol to (beverages)']
4368	lack	c1	['the state of needing something that is absent or unavailable', 'be without']
4369	lacy	b1	['made of or resembling lace', 'having open interstices or resembling a web']
4370	lad	c1	['a boy or man', 'a male child (a familiar term of address to a boy)']
4371	ladder	c1	['steps consisting of two parallel members connected by rungs; for climbing up or down', 'ascending stages by which somebody or something can progress', 'a row of unravelled stitches', 'come unraveled or undone as if by snagging']
4372	laddie	a2	['a male child (a familiar term of address to a boy)']
4373	laden	b2	['remove with or as if with a ladle', 'fill or place a load on', 'remove with or as if with a ladle', 'fill or place a load on', 'filled with a great quantity', 'burdened psychologically or mentally']
4374	lady	b1	['a polite name for any woman', 'a woman of refinement', 'a woman of the peerage in Britain']
4375	ladylike	c1	['befitting a woman of good breeding']
4376	laggard	c1	['someone who takes more time than necessary; someone who lags behind', 'wasting time']
4377	lagoon	c1	['a body of water cut off from a larger body by a reef of sand or coral']
4378	lake	a2	['a body of (usually fresh) water surrounded by land', 'a purplish red pigment prepared from lac or cochineal', 'any of numerous bright translucent organic pigments']
4379	lamb	b1	['young sheep', 'English essayist (1775-1834)', 'a person easily deceived or cheated (especially in financial matters)', 'a sweet innocent mild-mannered person (especially a child)', 'the flesh of a young domestic sheep eaten as food', 'give birth to a lamb']
4380	lame	a1	"[""someone who doesn't understand what is going on"", 'a fabric interwoven with threads of metal', 'deprive of the use of a limb, especially a leg', 'pathetically lacking in force or effectiveness', 'disabled in the feet or legs']"
4381	lamp	b2	['an artificial source of visible illumination', 'a piece of furniture holding one or more electric light bulbs']
4382	lamplight	b2	['light from a lamp']
4383	lampshade	b2	['a protective ornamental shade used to screen a light bulb from direct view']
4384	land	b2	"['the land on which real estate is located', 'material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use)', 'territory over which rule or control is exercised', ""the solid part of the earth's surface"", 'the territory occupied by a nation', 'a domain in which something is dominant', 'extensive landed property (especially in the country) retained by the owner for his own use', 'the people who live in a nation or country', 'a politically organized body of people under a single government', 'United States inventor who incorporated Polaroid film into lenses and invented the one step photographic process (1909-1991)', 'agriculture considered as an occupation or way of life', 'reach or come to rest', 'cause to come to the ground', 'bring into a different state', 'bring ashore', 'deliver (a blow)', 'arrive on shore', 'shoot at and force to come down']"
4385	landfill	c1	['a low area that has been filled in']
4386	landing	b2	['an intermediate platform in a staircase', 'structure providing a place where boats can land people or goods', 'the act of coming down to the earth (or other surface)', 'the act of coming to land after a voyage', 'reach or come to rest', 'cause to come to the ground', 'bring into a different state', 'bring ashore', 'deliver (a blow)', 'arrive on shore', 'shoot at and force to come down']
4387	landmark	b2	['the position of a prominent or well-known object in a particular landscape', 'an event marking a unique or important historical change of course or one on which important developments depend', 'a mark showing the boundary of a piece of land', 'an anatomical structure used as a point of origin in locating other anatomical structures (as in surgery) or as point from which measurements can be taken']
4388	landscape	c1	['an expanse of scenery that can be seen in a single view', 'painting depicting an expanse of natural scenery', 'a genre of art dealing with the depiction of natural scenery', 'an extensive mental viewpoint', 'embellish with plants', 'do landscape gardening']
4389	landscaped	b1	['embellish with plants', 'do landscape gardening', '(of land) improved by gardening or landscape architecture']
4390	landslide	b2	['an overwhelming electoral victory', 'a slide of a large mass of dirt and rock down a mountain or cliff']
4391	lane	c1	['a narrow way or road', 'a well-defined track or path; for e.g. swimmers or lines of traffic']
4392	language	b1	['a systematic means of communicating by the use of sounds or conventional symbols', '(language) communication by word of mouth', 'the text of a popular song or musical-comedy number', 'the cognitive processes involved in producing and understanding linguistic communication', 'the mental faculty or power of vocal communication', 'a system of words used to name things in a particular discipline']
4393	languorous	c1	['lacking spirit or liveliness']
4394	lantern	a1	['light in a transparent protective case']
4395	lap	c1	['the upper side of the thighs of a seated person', 'an area of control or responsibility', 'the part of a piece of clothing that covers the thighs', 'a flap that lies over another part', 'movement once around a course', 'touching with the tongue', 'lie partly over or alongside of something or of one another', 'pass the tongue over', 'move with or cause to move with a whistling or hissing sound', 'take up with the tongue', 'wash or flow against']
4396	laptop	b1	['a portable computer small enough to use in your lap']
4397	large	b2	['a garment size for a large person', 'above average in size or number or quantity or magnitude or extent', 'fairly large or important in effect; influential', 'ostentatiously lofty in style', 'generous and understanding and tolerant', 'conspicuous in position or importance', 'having broad power and range and scope', 'in an advanced stage of pregnancy', 'at a distance, wide of something (as of a mark)', 'with the wind abaft the beam', 'in a boastful manner']
4398	largely	c1	['in large part; mainly or chiefly', 'on a large scale']
4399	lasagna	b2	['baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables', 'very wide flat strips of pasta']
4400	lasagne	b1	['baked dish of layers of lasagna pasta with sauce and cheese and meat or vegetables', 'very wide flat strips of pasta']
4401	laser	b2	['an acronym for light amplification by stimulated emission of radiation; an optical device that produces an intense monochromatic beam of coherent light']
4402	lash	b2	['any of the short curved hairs that grow from the edges of the eyelids', 'leather strip that forms the flexible part of a whip', 'a quick blow delivered with a whip or whiplike object', 'beat severely with a whip or rod', 'lash or flick about sharply', 'strike as if by whipping', 'bind with a rope, chain, or cord']
4403	lassie	a2	['a girl or young woman who is unmarried']
4404	last	b2	"['the temporal end; the concluding time', 'the last or lowest in an ordering or series', ""a person's dying act; the final thing a person can do"", 'the time at which life ends; continuing until dead', 'a unit of weight equal to 4,000 pounds', 'a unit of capacity for grain equal to 80 bushels', 'the concluding parts of an event or occurrence', 'holding device shaped like a human foot that is used to fashion or repair shoes', 'persist for a specified period of time', 'continue to live through hardship or adversity', 'immediately past', 'coming after all others in time or space or degree or being the only one remaining', 'occurring at or forming an end or termination', 'most unlikely or unsuitable', 'occurring at the time of death', 'conclusive in a process or progression', 'highest in extent or degree', 'not to be altered or undone', 'lowest in rank or importance', 'most_recently', 'the item at the end']"
4405	late	a1	['being or occurring at an advanced period of time or after a usual or expected time', 'after the expected or usual time; delayed', 'of the immediate past or just previous to the present time', 'having died recently', 'of a later stage in the development of a language or literature; used especially of dead languages', 'at or toward an end or late period or stage of development', '(used especially of persons) of the immediate past', 'later than usual or than expected', 'to an advanced time', 'at an advanced age or stage', 'in the recent past']
4406	lately	b2	['in the recent past']
4407	later	a2	"['coming at a subsequent time or stage', 'at or toward an end or late period or stage of development', 'being or occurring at an advanced period of time or after a usual or expected time', 'after the expected or usual time; delayed', 'of the immediate past or just previous to the present time', 'having died recently', 'of a later stage in the development of a language or literature; used especially of dead languages', 'at or toward an end or late period or stage of development', '(used especially of persons) of the immediate past', 'happening at a time subsequent to a reference time', 'at some eventual time in the future', ""comparative of the adverb `late'""]"
4408	lather	b1	['the froth produced by soaps or detergents', 'agitation resulting from active worry', 'a workman who puts up laths', 'the foam resulting from excessive sweating (as on a horse)', 'beat severely with a whip or rod', 'form a lather', 'exude sweat or lather', 'rub soap all over, usually with the purpose of cleaning']
4409	latin	b1	['any dialect of the language of ancient Rome', 'an inhabitant of ancient Latium', 'a person who is a member of those peoples whose languages derived from Latin', 'of or relating to the ancient Latins or the Latin language', 'relating to people or countries speaking Romance languages', 'relating to languages derived from Latin', 'of or relating to the ancient region of Latium']
4410	latter	b2	['the second of two or the second mentioned of two', 'referring to the second of two things or persons mentioned (or the last one or ones of several)']
4411	laugh	a2	['the sound of laughing', 'a facial expression characteristic of a person laughing', 'a humorous anecdote or remark intended to provoke laughter', 'produce laughter']
4412	laughably	c1	['so as to arouse or deserve laughter']
4413	laughed	c1	['produce laughter']
4414	laughing	b1	['produce laughter', 'showing or feeling mirth or pleasure or happiness']
4415	laughter	b1	['the sound of laughing', 'the activity of laughing; the manifestation of joy or mirth or scorn']
4416	launch	c1	['a motorboat with an open deck or a half deck', 'the act of propelling with force', 'set up or found', 'propel with force', 'launch for the first time; launch on a maiden voyage', 'begin with vigor', 'get going; give impetus to', 'smoothen the surface of']
4417	launderette	a2	['a self-service laundry (service mark Laundromat) where coin-operated washing machines are available to individual customers']
4418	laundry	c1	['garments or white goods that can be cleaned by laundering', 'workplace where clothes are washed and ironed']
4419	lava	a2	['rock that in its molten form (as magma) issues from volcanos; lava is what magma is called when it reaches the surface']
4420	law	c1	['the collection of rules imposed by authority', 'legal document setting forth rules governing a particular kind of activity', 'a rule or body of rules of conduct inherent in human nature and essential to or binding upon human society', 'a generalization that describes recurring facts or events in nature', 'the branch of philosophy concerned with the law and the principles that lead courts to make the decisions they do', 'the learned profession that is mastered by graduate study in a law school and that is responsible for the judicial system', 'the force of policemen and officers']
4421	lawn	b2	['a field of cultivated and mowed grass']
4422	lawsuit	c1	['a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy']
4423	lawyer	b1	['a professional person authorized to practice law; conducts lawsuits or gives legal advice']
4424	lay	c1	['a narrative song with a recurrent refrain', 'a narrative poem of popular origin', 'put into a certain place or abstract location', 'put in a horizontal position', 'prepare or position for action or operation', 'lay eggs', 'impose as a duty, burden, or punishment', 'be located or situated somewhere; occupy a certain position', 'be lying, be prostrate; be in a horizontal position', 'originate (in)', 'be and remain in a particular state or condition', 'tell an untruth; pretend with intent to deceive', 'have a place in relation to something else', 'assume a reclining position', 'characteristic of those who are not members of the clergy', 'not of or from a profession']
4425	layer	c1	['single thickness of usually some homogeneous substance', 'a relatively thin sheetlike expanse or region lying over or under another', 'an abstract place usually conceived as having depth', 'a hen that lays eggs', 'thin structure composed of a single thickness of cells', 'make or form a layer']
4426	layman	c1	['someone who is not a clergyman or a professional person']
4427	layout	c1	['a plan or design of something that is laid out', 'the act of laying out (as by making plans for something)']
4428	layperson	c1	['someone who is not a clergyman or a professional person']
4429	lazuli	b1	['an azure blue semiprecious stone']
4430	lazy	b2	['moving slowly and gently', 'disinclined to work or exertion']
4431	le	c1	['a chronic inflammatory collagen disease affecting connective tissue (skin or joints)']
4432	lead	c1	"['an advantage held by a competitor in a race', 'a soft heavy toxic malleable metallic element; bluish white when freshly cut but tarnishes readily to dull grey', 'evidence pointing to a possible solution', ""a position of leadership (especially in the phrase `take the lead')"", 'the angle between the direction a gun is aimed and the position of a moving target (correcting for the flight time of the missile)', 'the introductory section of a story', '(sports) the score by which a team or individual is winning', 'an actor who plays a principal role', '(baseball) the position taken by a base runner preparing to advance to the next base', 'an indication of potential opportunity', 'a news story of major importance', 'the timing of ignition relative to the position of the piston in an internal-combustion engine', 'restraint consisting of a rope (or light chain) used to restrain an animal', 'thin strip of metal used to separate lines of type in printing', 'mixture of graphite with clay in different degrees of hardness; the marking substance in a pencil', 'a jumper that consists of a short piece of wire', 'the playing of a card to start a trick in bridge', 'take somebody somewhere', 'have as a result or residue', 'tend to or result in', 'travel in front of; go in advance of others', 'cause to undertake a certain action', 'stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point', 'be in charge of', 'be ahead of others; be the first', 'be conducive to', 'lead, as in the performance of a composition', 'lead, extend, or afford access', 'move ahead (of others) in time or space', 'cause something to pass or lead somewhere', 'preside over']"
4433	leader	c1	['a person who rules or guides or inspires others', 'a featured article of merchandise sold at a loss in order to draw customers']
4434	leadership	c1	['the activity of leading', 'the body of people who lead a group', 'the status of a leader', 'the ability to lead']
4435	leaf	c1	['the main organ of photosynthesis and transpiration in higher plants', 'a sheet of any written or printed material (especially in a manuscript or book)', 'hinged or detachable flat section (as of a table or door)', 'look through a book or other written material', 'turn over pages', 'produce leaves, of plants']
4436	league	c1	['an association of sports teams that organizes matches for its members', 'an association of states or organizations or individuals for common action', 'an obsolete unit of distance of variable length (usually 3 miles)', 'unite to form a league']
4437	leak	a1	['an accidental hole that allows something (fluid or light etc.) to enter or escape', 'soft watery rot in fruits and vegetables caused by fungi', 'a euphemism for urination', 'the discharge of a fluid from some container', 'unauthorized (especially deliberate) disclosure of confidential information', 'tell anonymously', 'be leaked', 'enter or escape as through a hole or crack or fissure', 'have an opening that allows light or substances to enter or go out']
4438	leakage	c1	['the discharge of a fluid from some container']
4439	leaking	c1	['tell anonymously', 'be leaked', 'enter or escape as through a hole or crack or fissure', 'have an opening that allows light or substances to enter or go out']
4440	lean	c1	['the property possessed by a line or surface that departs from the vertical', 'to incline or bend from a vertical position', 'cause to lean or incline', 'have a tendency or disposition to do or be something; be inclined', 'rely on for support', 'cause to lean to the side', 'lacking excess flesh; ; -Shakespeare', 'lacking in mineral content or combustible material', 'containing little excess', 'not profitable or prosperous']
4441	leap	c1	['a light, self-propelled movement upwards or forwards', 'an abrupt transition', 'a sudden and decisive increase', 'the distance leaped (or to be leaped)', 'move forward by leaps and bounds', 'pass abruptly from one state or topic to another', 'jump down from an elevated point', 'cause to jump or leap']
4442	learn	b1	['gain knowledge or skills', 'get to know or become aware of, usually accidentally', 'commit to memory; learn by heart', 'be a student of a certain subject', 'impart skills or knowledge to', 'find out, learn, or determine with certainty, usually by making an inquiry or other effort']
4443	learner	c1	['someone (especially a child) who learns (as from a teacher) or takes up knowledge or beliefs', 'works for an expert to learn a trade']
4444	learning	b1	['the cognitive process of acquiring skill or knowledge', 'profound scholarly knowledge', 'gain knowledge or skills', 'get to know or become aware of, usually accidentally', 'commit to memory; learn by heart', 'be a student of a certain subject', 'impart skills or knowledge to', 'find out, learn, or determine with certainty, usually by making an inquiry or other effort']
4445	learnt	c1	['gain knowledge or skills', 'get to know or become aware of, usually accidentally', 'commit to memory; learn by heart', 'be a student of a certain subject', 'impart skills or knowledge to', 'find out, learn, or determine with certainty, usually by making an inquiry or other effort']
4446	lease	c1	['property that is leased or rented out or let', 'a contract granting use or occupation of property during a specified time for a specified payment', 'the period of time during which a contract conveying property to a person is in effect', 'let for money', 'hold under a lease or rental agreement; of goods and services', 'grant use or occupation of under a term of contract', 'engage for service under a term of contract']
4447	least	b2	"['something that is of no importance', ""the superlative of `little' that can be used with mass nouns and is usually preceded by `the'; a quantifier meaning smallest in amount or extent or degree"", 'used to form the superlative']"
4448	leather	c1	['an animal skin made smooth and flexible by removing the hair and then tanning', 'whip with a leather strap']
4449	leave	c1	"['the period of time during which you are absent from work or duty', 'permission to do something', 'the act of departing politely', 'go away from a place', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'act or be so as to become in a specified state', 'leave unchanged or undisturbed or refrain from taking', 'move out of or depart from', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'have as a result or residue', 'remove oneself from an association with or participation in', 'put into the care or protection of someone', ""leave or give by will after one's death"", 'have left or have as a remainder', ""be survived by after one's death"", 'transmit (knowledge or skills)', 'leave behind unintentionally']"
4450	leaving	a2	"['the act of departing', 'go away from a place', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'act or be so as to become in a specified state', 'leave unchanged or undisturbed or refrain from taking', 'move out of or depart from', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'have as a result or residue', 'remove oneself from an association with or participation in', 'put into the care or protection of someone', ""leave or give by will after one's death"", 'have left or have as a remainder', ""be survived by after one's death"", 'transmit (knowledge or skills)', 'leave behind unintentionally']"
4451	lebanese	b1	['a native or inhabitant of Lebanon', 'of or relating to or characteristic of Lebanon or its people']
4452	lecture	c1	['a speech that is open to the public', 'a lengthy rebuke', 'teaching by giving a discourse on some subject (typically to a class)', 'deliver a lecture or talk', 'censure severely or angrily']
4453	lecturer	c1	['a public lecturer at certain universities', 'someone who lectures professionally']
4454	ledge	b2	['a projecting ridge on a mountain or submerged under water']
4455	leek	a2	['plant having a large slender white bulb and flat overlapping dark green leaves; used in cooking; believed derived from the wild Allium ampeloprasum', 'related to onions; white cylindrical bulb and flat dark-green leaves']
4456	left	b2	"['location near or direction toward the left side; i.e. the side to the north when a person or object faces east', 'those who support varying degrees of social or political or economic change designed to promote the public welfare', 'the hand that is on the left side of the body', ""the piece of ground in the outfield on the catcher's left"", 'a turn toward the side of the body that is on the north when the person is facing east', 'go away from a place', 'go and leave behind, either intentionally or by neglect or forgetfulness', 'act or be so as to become in a specified state', 'leave unchanged or undisturbed or refrain from taking', 'move out of or depart from', 'make a possibility or provide opportunity for; permit to be attainable or cause to remain', 'have as a result or residue', 'remove oneself from an association with or participation in', 'put into the care or protection of someone', ""leave or give by will after one's death"", 'have left or have as a remainder', ""be survived by after one's death"", 'transmit (knowledge or skills)', 'leave behind unintentionally', 'being or located on or directed toward the side of the body to the west when facing north', 'not used up', 'intended for the left hand', 'of or belonging to the political or intellectual left', 'toward or on the left; also used figuratively']"
4457	leftover	b1	['a small part or portion that remains after the main part no longer exists', 'not used up']
4458	leg	a2	"['a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle', 'a structure in animals that is similar to a human leg and used for locomotion', 'one of the supports for a piece of furniture', 'a part of a forked or branching shape', 'the limb of an animal used for food', 'a prosthesis that replaces a missing leg', ""a cloth covering consisting of the part of a pair of trousers that covers a person's leg"", '(nautical) the distance traveled by a sailing vessel on a single tack', 'a section or portion of a journey or course']"
4459	legacy	c1	['(law) a gift of personal property by will']
4460	legal	b1	['established by or founded upon law or official or accepted rules', 'of or relating to jurisprudence', 'having legal efficacy or force', 'relating to or characteristic of the profession of law', 'allowed by official rules']
4461	legally	b2	['by law; conforming to the law', 'in a legal manner']
4462	legend	b2	['a story about mythical or supernatural beings or events', 'brief description accompanying an illustration']
4463	legendary	b1	['so celebrated as to having taken on the nature of a legend', 'celebrated in fable or legend']
4464	legion	b1	['archaic terms for army', 'association of ex-servicemen', 'a large military unit', 'a vast multitude', 'amounting to a large indefinite number']
4465	legitimate	b2	['make legal', 'show or affirm to be just and legitimate', 'make (an illegitimate child) legitimate; declare the legitimacy of (someone)', 'of marriages and offspring; recognized as lawful', 'based on known statements or events or conditions', 'in accordance with recognized or accepted standards or principles', 'authorized, sanctioned by, or in accordance with law']
4466	leisure	c1	['time available for ease and relaxation', 'freedom to choose a pastime or enjoyable activity']
4467	leitmotif	c1	"[""a melodic phrase that accompanies the reappearance of a person or situation (as in Wagner's operas)""]"
4468	lemonade	b2	['sweetened beverage of diluted lemon juice']
4469	lemur	b1	['large-eyed arboreal prosimian having foxy faces and long furry tails']
4470	lend	b1	['bestow a quality on', 'give temporarily; let have for a limited time', 'have certain characteristics of qualities for something; be open or vulnerable to']
4471	length	c1	['the linear extent in space from one end to the other; the longest dimension of something that is fixed in place', 'continuance in time', 'the property of being the extent of something from beginning to end', 'size of the gap between two places', 'a section of something that is long and narrow']
4472	lengthen	c1	['make longer', 'become long or longer']
4473	lengthy	b2	['relatively long in duration; tediously protracted']
4474	lentil	b1	['round flat seed of the lentil plant used for food', 'the fruit or seed of a lentil plant', 'widely cultivated Eurasian annual herb grown for its edible flattened seeds that are cooked like peas and also ground into meal and for its leafy stalks that are used as fodder']
4475	less	c1	"['a chronic inflammatory collagen disease affecting connective tissue (skin or joints)', ""(comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree"", ""(usually preceded by `no') lower in quality"", '(nonstandard in some uses but often idiomatic with measure phrases) fewer', 'used to form the comparative of some adjectives and adverbs', 'comparative of little']"
4476	lesson	a2	['a unit of instruction', 'punishment intended as a warning to others', 'the significance of a story or event', 'a task assigned for individual study']
4477	let	a1	"['a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India', ""a serve that strikes the net before falling into the receiver's court; the ball must be served again"", 'make it possible through a specific action or lack of action for something to happen', 'actively cause something to happen', 'consent to, give permission', 'cause to move; cause to be in a certain position or condition', 'leave unchanged', 'grant use or occupation of under a term of contract']"
4478	lethal	b2	['of an instrument of certain death']
4479	lethargy	c1	['a state of comatose torpor (as found in sleeping sickness)', 'weakness characterized by a lack of vitality or energy', 'inactivity; showing an unusual lack of energy']
4480	letter	a1	['a written message addressed to a person or organization', 'the conventional characters of the alphabet used to represent speech', 'owner who lets another person use something (housing usually) for hire', 'a strictly literal interpretation (as distinct from the intention)', 'an award earned by participation in a school sport', 'win an athletic letter', 'set down or print with letters', 'mark letters on or mark with letters']
4481	lettuce	c1	['informal terms for money', 'any of various plants of the genus Lactuca', 'leaves of any of various plants of Lactuca sativa']
4482	level	b1	['a position on a scale of intensity or amount or quality', 'a relative position or degree of value in a graded group', 'a specific identifiable position in a continuum or series or especially in a process', 'height above ground', 'indicator that establishes the horizontal when a bubble is centered in a tube of liquid', 'a flat surface at right angles to a plumb line', 'an abstract place usually conceived as having depth', 'a structure consisting of a room or set of rooms at a single position along a vertical scale', 'aim at', 'tear down so as to make flat with the ground', 'make level or straight', 'direct into a position for use', 'talk frankly with; lay it on the line', 'become level or even', 'having a surface without slope, tilt in which no part is higher or lower than another', 'not showing abrupt variations; ; - Louis Auchincloss', 'being on a precise horizontal plane', 'oriented at right angles to the plumb', 'of the score in a contest']
4483	lever	b2	['a rigid bar pivoted about a fulcrum', 'a simple machine that gives a mechanical advantage when given a fulcrum', 'a flat metal tumbler in a lever lock', 'to move or force, especially in an effort to get something open; :']
4484	lexicon	c1	"[""a language user's knowledge of words"", 'a reference book containing an alphabetical list of words with information about them']"
4485	liable	c1	"['at risk of or subject to experiencing something usually unpleasant', 'subject to legal action', ""(often followed by `to') likely to be affected with"", 'held legally responsible']"
4486	liar	c1	['a person who has lied or who lies repeatedly']
4487	liberal	c1	['a person who favors a political philosophy of progress and reform and the protection of civil liberties', 'a person who favors an economic theory of laissez-faire and self-regulating markets', 'showing or characterized by broad-mindedness', 'having political or social views favoring reform and progress', 'tolerant of change; not bound by authoritarianism, orthodoxy, or tradition', 'given or giving freely', 'not literal']
4488	liberation	c1	"['the act of liberating someone or something', 'the attempt to achieve equal rights or status', ""the termination of someone's employment (leaving them free to depart)""]"
4489	liberian	b2	['a native or inhabitant of Liberia', 'of or relating to Liberia or its people']
4490	liberty	c1	['immunity from arbitrary exercise of authority: political independence', 'freedom of choice', 'personal freedom from servitude or confinement or oppression', 'leave granted to a sailor or naval officer', 'an act of undue intimacy']
4491	library	a1	['a room where books are kept', 'a collection of literary documents or records kept for reference or borrowing', 'a depository built to contain books and other materials for reading and study', '(computing) a collection of standard programs and subroutines that are stored and available for immediate use', 'a building that houses a collection of books and other materials']
4492	licence	b2	['excessive freedom; lack of due restraint; - Will Durant; - Edmund Burke', 'freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)', 'a legal document giving official permission to do something', 'authorize officially']
4493	license	c1	['a legal document giving official permission to do something', 'freedom to deviate deliberately from normally applicable rules or practices (especially in behavior or speech)', 'excessive freedom; lack of due restraint; - Will Durant; - Edmund Burke', 'the act of giving a formal (usually written) authorization', 'authorize officially']
4494	lick	b1	['a salt deposit that animals regularly lick', 'touching with the tongue', '(boxing) a blow with the fist', 'beat thoroughly and conclusively in a competition or fight', 'pass the tongue over', 'find the solution to (a problem or question) or understand the meaning of', 'take up with the tongue']
4495	lid	c1	['either of two folds of skin that can be moved to cover or open the eye', 'a movable top or cover (hinged or separate) for closing the opening at the top of a box, chest, jar, pan, etc.', 'headdress that protects the head from bad weather; has shaped crown and usually a brim']
