	WORD	CEFR	CLUE
69	acknowledge	b2	['declare to be true or admit the existence or reality or truth of', 'report the receipt of', 'express recognition of the presence or existence of, or acquaintance with', 'express obligation, thanks, or gratitude for', 'accept as legally binding and valid', 'accept (someone) to be what is claimed or accept his power and authority']
70	acquaint	b2	['cause to come to know personally', 'make familiar or conversant with', 'inform']
71	acquire	b2	"['come into the possession of something concrete or abstract', 'take on a certain form, attribute, or aspect', 'come to have or undergo a change of (physical features and attributes)', 'locate (a moving entity) by means of a tracking system such as radar', ""win something through one's efforts"", 'gain knowledge or skills', 'gain through experience']"
72	acre	b1	['a unit of area (4840 square yards) used in English-speaking countries', 'a territory of western Brazil bordering on Bolivia and Peru', 'a town and port in northwestern Israel in the eastern Mediterranean']
73	acrobat	b2	['an athlete who performs acts requiring skill and agility and coordination']
74	across	a2	['to the opposite side', 'transversely']
75	act	c1	"['a legal document codifying the result of deliberations of a committee or society or legislative body', 'something that people do or cause to happen', 'a subdivision of a play or opera or ballet', 'a short theatrical performance that is part of a longer program', 'a manifestation of insincerity', 'perform an action, or work out or perform (an action)', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'play a role or part', ""discharge one's duties"", 'pretend to have certain qualities or state of mind', 'be suitable for theatrical performance', 'have an effect or outcome; often the one desired or expected', 'be engaged in an activity, often for no particular purpose other than pleasure', 'behave unnaturally or affectedly', 'perform on a stage or theater']"
76	acting	b2	"['the performance of a part or role in a drama', 'perform an action, or work out or perform (an action)', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'play a role or part', ""discharge one's duties"", 'pretend to have certain qualities or state of mind', 'be suitable for theatrical performance', 'have an effect or outcome; often the one desired or expected', 'be engaged in an activity, often for no particular purpose other than pleasure', 'behave unnaturally or affectedly', 'perform on a stage or theater', 'serving temporarily especially as a substitute']"
77	action	b2	['something done (usually as opposed to something said)', 'the state of being active', 'a military engagement', 'a process existing in or produced by nature (rather than by the intent of human beings)', 'the series of events that form a plot', 'the trait of being active and energetic and forceful', 'the operating part that transmits power to a mechanism', 'a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong', 'an act by a government body or supranational organization', 'the most important or interesting work or activity in a specific area or field', 'institute legal proceedings against; file a suit against', 'put in effect']
78	actions	c1	['something done (usually as opposed to something said)', 'the state of being active', 'a military engagement', 'a process existing in or produced by nature (rather than by the intent of human beings)', 'the series of events that form a plot', 'the trait of being active and energetic and forceful', 'the operating part that transmits power to a mechanism', 'a judicial proceeding brought by one party against another; one party prosecutes another for a wrong done or for protection of a right or for prevention of a wrong', 'an act by a government body or supranational organization', 'the most important or interesting work or activity in a specific area or field', 'institute legal proceedings against; file a suit against', 'put in effect']
79	activate	c1	['put in motion or move to act', 'make active or more active', 'make more adsorptive', 'aerate (sewage) so as to favor the growth of organisms that decompose organic matter', 'make (substances) radioactive']
80	active	b2	"['chemical agent capable of activity', 'the voice used to indicate that the grammatical subject of the verb is performing the action or causing the happening denoted by the verb', 'a person who is a participating member of an organization', 'tending to become more severe or wider in scope', 'engaged in or ready for military or naval operations', 'disposed to take action or effectuate change', 'taking part in an activity', 'characterized by energetic activity', 'exerting influence or producing a change or effect', 'full of activity or engaged in continuous activity', 'in operation', '(of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions', 'expressing that the subject of the sentence has the semantic function of actor:', ""(used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being"", '(of e.g. volcanos) capable of erupting', '(of e.g. volcanos) erupting or liable to erupt', 'engaged in full-time work']"
81	activist	c1	['a militant reformer', 'advocating or engaged in activism']
82	activity	c1	['any specific behavior', 'the state of being active', 'an organic process that takes place in the body', '(chemistry) the capacity of a substance to take part in a chemical reaction', 'a process existing in or produced by nature (rather than by the intent of human beings)', 'the trait of being active; moving or acting rapidly and energetically']
83	actor	b2	['a theatrical performer', 'a person who acts and gets things done']
84	actress	a2	['a female actor']
85	actual	b2	['presently existing in fact and not merely potential or possible', 'taking place in reality; not pretended or imitated', 'being or reflecting the essential or genuine character of something; ; - G.K.Chesterton', 'existing in act or fact', 'being or existing at the present moment']
86	actually	b2	['in actual fact', 'used to imply that one would expect the fact to be the opposite of that stated; surprisingly', 'at the present moment', 'as a sentence modifier to add slight emphasis']
87	ad	c1	['a public promotion of some product or service', 'in the Christian era; used before dates after the supposed year Christ was born']
88	adapt	c1	['make fit for, or change to suit a new purpose', 'adapt or conform oneself to new or different conditions']
89	add	c1	['a condition (mostly in boys) characterized by behavioral and learning disorders', 'make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of', 'state or say further', 'bestow a quality on', 'make an addition by combining numbers', 'determine the sum of', 'constitute an addition']
90	addict	a1	['someone who is so ardently devoted to something that it resembles an addiction', 'someone who is physiologically dependent on a substance; abrupt deprivation of the substance produces withdrawal symptoms', 'to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)']
91	addictive	b2	['causing or characterized by addiction']
92	addition	b2	['a component that is added to something to improve it', 'the act of adding one thing to another', 'a quantity that is added', 'something added to what you already have', 'a suburban area laid out in streets and lots for a future residential area', 'the arithmetic operation of summing; calculating the sum of two or more numbers']
93	additional	c1	['further or added']
94	additionally	c1	['in addition, by way of addition; furthermore']
95	additive	b2	['something added to enhance food or gasoline or paint or medicine', 'designating or involving an equation whose terms are of the first degree', 'characterized or produced by addition']
96	address	c1	"['(computer science) the code that identifies where a piece of information is stored', 'the place where a person or organization can be found or communicated with', 'the act of delivering a formal spoken communication to an audience', 'the manner of speaking to another individual', 'a sign in front of a house or business carrying the conventional form by which its location is described', 'written directions for finding some location; written on letters or packages that are to be delivered to that location', 'the stance assumed by a golfer in preparation for hitting a golf ball', 'social skill', 'speak to', 'give a speech to', 'put an address on (an envelope)', 'direct a question at someone', ""address or apply oneself to something, direct one's efforts towards something, such as a question"", 'greet, as with a prescribed form, title, or name', 'access or locate by address', 'act on verbally or in some form of artistic expression', 'speak to someone', 'adjust and aim (a golf ball) at in preparation of hitting']"
97	adept	b2	['someone who is dazzlingly skilled in any field', 'having or showing knowledge and skill and aptitude']
98	adequate	c1	['having the requisite qualities or resources to meet a task', 'sufficient for the purpose', 'about average; acceptable']
